Epoch,Batch,Gen Loss,Disc Loss
0,0,0.7203195095062256,1.3871750831604004
0,1,0.7450699806213379,1.364230990409851
0,2,0.760794997215271,1.3493235111236572
0,3,0.7513692378997803,1.3703516721725464
0,4,0.6882708072662354,1.4339067935943604
0,5,0.6731510162353516,1.469620704650879
0,6,0.7224554419517517,1.4155638217926025
0,7,0.7947254180908203,1.354968786239624
0,8,0.814096212387085,1.3234546184539795
0,9,0.7530932426452637,1.3443050384521484
0,10,0.6949677467346191,1.3847625255584717
0,11,0.7023093700408936,1.3937880992889404
0,12,0.6908945441246033,1.4062165021896362
0,13,0.6855149865150452,1.4065172672271729
0,14,0.7181887626647949,1.3785429000854492
0,15,0.7429081797599792,1.3640698194503784
0,16,0.7563275694847107,1.3431532382965088
0,17,0.7738086581230164,1.3254015445709229
0,18,0.7708449363708496,1.3340257406234741
0,19,0.6722930669784546,1.4056980609893799
0,20,0.7307475209236145,1.388258695602417
1,0,0.6938708424568176,1.4565916061401367
1,1,0.6924403309822083,1.379431962966919
1,2,0.7409932017326355,1.36350679397583
1,3,0.7403115630149841,1.4105278253555298
1,4,0.7586145997047424,1.3384201526641846
1,5,0.7424852848052979,1.3706430196762085
1,6,0.7125948667526245,1.3856843709945679
1,7,0.6748999357223511,1.388861894607544
1,8,0.6957469582557678,1.4176182746887207
1,9,0.7020070552825928,1.3985117673873901
1,10,0.7395666837692261,1.3803353309631348
1,11,0.7226942777633667,1.4188896417617798
1,12,0.7281221747398376,1.370450735092163
1,13,0.7139909863471985,1.4028741121292114
1,14,0.7217515110969543,1.352179765701294
1,15,0.703704833984375,1.3818939924240112
1,16,0.7537006139755249,1.3412519693374634
1,17,0.7164443731307983,1.3904606103897095
1,18,0.7023706436157227,1.3959397077560425
1,19,0.7132115364074707,1.3905534744262695
1,20,0.6973364949226379,1.3791861534118652
2,0,0.7588433027267456,1.3488965034484863
2,1,0.7200364470481873,1.3687758445739746
2,2,0.7477232217788696,1.3564131259918213
2,3,0.8218656778335571,1.3152151107788086
2,4,0.7710590362548828,1.3255985975265503
2,5,0.7807824611663818,1.2723802328109741
